code,city,prefectures,wards,year,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,"総人口指数
（2020年＝100）",,"（再掲）
0～14歳","（再掲）
15～64歳",（再掲）65歳以上,,,,0～14歳割合(%),15～64歳割合(%),65歳以上割合(%),,
,,,,,total,0-4yo,5-9yo,10-14yo,15-19yo,20-24yo,25-29yo,30-34yo,35-39yo,40-44yo,45-49yo,50-54yo,55-59yo,60-64yo,65-69yo,70-74yo,75-79yo,80-84yo,85-89yo,90-94yo,95-yo,,計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95歳～,,計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95歳～,,,,,,,（再掲）65～74歳,（再掲）75歳以上,,,,,65～74歳割合(%),75歳以上割合(%)
13000,a,Tokyo,,2020,14047594,521560,532323,514532,550705,857660,987393,958959,1009207,1065587,1184918,1067683,894511,707805,696092,804285,646882,499679,343868,156412,47533,,6898388,266632,272175,263844,279541,426874,498313,485313,515494,543344,598969,545941,461404,359474,344795,380852,282261,199322,120801,43858,9181,,7149206,254928,260148,250688,271164,430786,489080,473646,493713,522243,585949,521742,433107,348331,351297,423433,364621,300357,223067,112554,38352,,100.0,,1568415,9284428,3194751,1500377,1694374,,11.2,66.1,22.7,10.7,12.1
13000,a,Tokyo,,2025,14198914,481289,507307,535102,572140,814575,1007188,993389,938393,994175,1057893,1165487,1039512,856151,670668,648947,725300,544954,372358,202348,71738,,6952755,246642,259426,273389,290558,409724,503309,502617,473083,503261,535726,586816,529354,436643,333741,313001,329326,220652,131814,58865,14808,,7246159,234647,247881,261713,281582,404851,503879,490772,465310,490914,522167,578671,510158,419508,336927,335946,395974,324302,240544,143483,56930,,101.1,,1523698,9438903,3236313,1319615,1916698,,10.7,66.5,22.8,9.3,13.5
13000,a,Tokyo,,2030,14348591,492341,471728,512190,593925,836895,958806,1025332,976733,930478,992666,1041378,1135272,995556,813199,627938,588138,620361,412889,224573,98193,,7011575,252311,241790,261598,300701,421764,484127,513712,492483,465740,499493,525374,569118,501146,406399,304281,272061,263297,149145,66127,20908,,7337016,240030,229938,250592,293224,415131,474679,511620,484250,464738,493173,516004,566154,494410,406800,323657,316077,357064,263744,158446,77285,,102.1,,1476259,9487041,3385291,1441137,1944154,,10.3,66.1,23.6,10.0,13.5
13000,a,Tokyo,,2035,14458983,508637,482012,475903,565791,856481,976542,974591,1008839,966173,927868,976302,1012937,1088734,948100,762638,572581,503785,479465,254292,117312,,7052059,260664,247069,243623,286337,430521,494181,492627,503862,483499,461813,489468,508736,539595,468159,371879,266662,218183,183407,76630,25144,,7406924,247973,234943,232280,279454,425960,482361,481964,504977,482674,466055,486834,504201,549139,479941,390759,305919,285602,296058,177662,92168,,102.9,,1466552,9354258,3638173,1710738,1927435,,10.1,64.7,25.2,11.8,13.3
13000,a,Tokyo,,2040,14507419,503013,497440,485904,524307,811639,992384,986333,958079,998103,961539,912069,949123,970159,1038550,891883,697728,495189,390300,305111,138566,,7060378,257782,254986,248762,265857,407557,501488,499779,482380,494886,478376,452446,473779,481658,505000,430290,327664,216524,152645,98452,30067,,7447041,245231,242454,237142,258450,404082,490896,486554,475699,503217,483163,459623,475344,488501,533550,461593,370064,278665,237655,206659,108499,,103.3,,1486357,9063735,3957327,1930433,2026894,,10.2,62.5,27.3,13.3,14.0
13000,a,Tokyo,,2045,14482741,488484,491495,501029,533036,744755,935573,996359,966217,947523,993432,944488,886890,909088,925161,979028,819300,607248,389856,249333,174446,,7029861,250336,251938,256527,270392,374401,472317,504283,487708,473456,489856,468332,438207,448746,450771,465288,381285,268475,154734,82527,40282,,7452880,238148,239557,244502,262644,370354,463256,492076,478509,474067,503576,476156,448683,460342,474390,513740,438015,338773,235122,166806,134164,,103.1,,1481008,8857361,4144372,1904189,2240183,,10.2,61.2,28.6,13.1,15.5
13000,a,Tokyo,,2050,14399144,468372,476877,494711,547757,748978,854010,934881,972694,953805,943070,976245,918630,850336,867585,872788,901833,717612,483459,255244,160257,,6965890,240030,244450,253298,277944,376650,431690,472565,490393,477798,468558,479938,453714,415672,420564,415884,413564,314997,194845,86253,37083,,7433254,228342,232427,241413,269813,372328,422320,462316,482301,476007,474512,496307,464916,434664,447021,456904,488269,402615,288614,168991,123174,,102.5,,1439960,8700406,4258778,1740373,2518405,,10.0,60.4,29.6,12.1,17.5